file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,1133,3476
MysteryGuest_consolidated_results,-475,7600
RedundantAssertion_consolidated_results,-476,10559
IgnoredTest_consolidated_results,-472,8495
SleepyTest_consolidated_results,-2,5825
AssertionRoulette_consolidated_results,-769,15218
EmptyTest_consolidated_results,71,39
LazyTest_consolidated_results,-11,14463
ExceptionHandling_consolidated_results,1092,12094
SensitiveEquality_consolidated_results,60,10020
MagicNumberTest_consolidated_results,-443,16068
EagerTest_consolidated_results,-391,6181
ConstructorInitialization_consolidated_results,0,5688
ResourceOptimism_consolidated_results,0,7125
UnknownTest_consolidated_results,-418,9963
RedundantPrint_consolidated_results,57,40
DuplicateAssertion_consolidated_results,2624,-2507
ConditionalTestLogic_consolidated_results,1099,14416
