file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,-902,35132
SuboptimalAssert_consolidated_results,-194,34898
ObscureInLineSetup_consolidated_results,-228,52568
RedundantAssertion_consolidated_results,-228,3236
IgnoredTest_consolidated_results,-936,3268
SleepyTest_consolidated_results,-786,2782
AssertionRoulette_consolidated_results,-920,65868
LackCohesion_consolidated_results,-996,61806
EmptyTest_consolidated_results,0,17682
ExceptionHandling_consolidated_results,-152,55754
MagicNumberTest_consolidated_results,-152,64314
ConstructorInitialization_consolidated_results,-768,-106
UnknownTest_consolidated_results,-186,64166
RedundantPrint_consolidated_results,-996,34886
DuplicateAssertion_consolidated_results,-152,64290
TestMaverick_consolidated_results,-936,43838
ConditionalTestLogic_consolidated_results,-152,65118
