file_name,sum_statements_GPT,sum_statements_GEMINI,sum_statements_LLAMA
GeneralFixture_consolidated_results,-134,-902,-902
SuboptimalAssert_consolidated_results,-194,-194,-194
ObscureInLineSetup_consolidated_results,-954,-228,-186
RedundantAssertion_consolidated_results,-228,-228,-228
IgnoredTest_consolidated_results,-168,-936,-936
SleepyTest_consolidated_results,-60,-786,-786
AssertionRoulette_consolidated_results,-920,-920,-152
LackCohesion_consolidated_results,-228,-996,-228
EmptyTest_consolidated_results,0,0,0
ExceptionHandling_consolidated_results,-920,-152,-920
MagicNumberTest_consolidated_results,-920,-152,-152
ConstructorInitialization_consolidated_results,0,-768,-768
UnknownTest_consolidated_results,-186,-186,-186
RedundantPrint_consolidated_results,-954,-996,-996
DuplicateAssertion_consolidated_results,-194,-152,-152
TestMaverick_consolidated_results,-936,-936,-936
ConditionalTestLogic_consolidated_results,-152,-152,-152
