file_name,sum_statements_GPT,sum_statements_GEMINI,sum_statements_LLAMA
GeneralFixture_consolidated_results,-574,1133,-501
MysteryGuest_consolidated_results,-554,-475,-475
RedundantAssertion_consolidated_results,-40,-476,-509
IgnoredTest_consolidated_results,-478,-472,-472
SleepyTest_consolidated_results,-2,-2,-2
AssertionRoulette_consolidated_results,17,-769,-511
EmptyTest_consolidated_results,64,71,64
LazyTest_consolidated_results,468,-11,-506
ExceptionHandling_consolidated_results,484,1092,59
SensitiveEquality_consolidated_results,-476,60,-483
MagicNumberTest_consolidated_results,-443,-443,3
EagerTest_consolidated_results,49,-391,-313
ConstructorInitialization_consolidated_results,0,0,0
ResourceOptimism_consolidated_results,-594,0,0
UnknownTest_consolidated_results,-775,-418,-1243
RedundantPrint_consolidated_results,-879,57,3
DuplicateAssertion_consolidated_results,-1175,2624,-416
ConditionalTestLogic_consolidated_results,-475,1099,-503
