file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,-574,564
MysteryGuest_consolidated_results,-554,5332
RedundantAssertion_consolidated_results,-40,7629
IgnoredTest_consolidated_results,-478,6154
SleepyTest_consolidated_results,-2,5723
AssertionRoulette_consolidated_results,17,13281
EmptyTest_consolidated_results,64,48
LazyTest_consolidated_results,468,9732
ExceptionHandling_consolidated_results,484,14027
SensitiveEquality_consolidated_results,-476,6141
MagicNumberTest_consolidated_results,-443,8578
EagerTest_consolidated_results,49,13217
ConstructorInitialization_consolidated_results,0,5688
ResourceOptimism_consolidated_results,-594,5076
UnknownTest_consolidated_results,-775,12667
RedundantPrint_consolidated_results,-879,906
DuplicateAssertion_consolidated_results,-1175,1151
ConditionalTestLogic_consolidated_results,-475,8484
