file_name,sum_missing_GPT,sum_missing_GEMINI,sum_missing_LLAMA
GeneralFixture_consolidated_results,564,3476,9268
MysteryGuest_consolidated_results,5332,7600,7600
RedundantAssertion_consolidated_results,7629,10559,10500
IgnoredTest_consolidated_results,6154,8495,8495
SleepyTest_consolidated_results,5723,5825,5811
AssertionRoulette_consolidated_results,13281,15218,17330
EmptyTest_consolidated_results,48,39,48
LazyTest_consolidated_results,9732,14463,13336
ExceptionHandling_consolidated_results,14027,12094,14523
SensitiveEquality_consolidated_results,6141,10020,6150
MagicNumberTest_consolidated_results,8578,16068,18126
EagerTest_consolidated_results,13217,6181,15828
ConstructorInitialization_consolidated_results,5688,5688,5688
ResourceOptimism_consolidated_results,5076,7125,7125
UnknownTest_consolidated_results,12667,9963,11522
RedundantPrint_consolidated_results,906,40,0
DuplicateAssertion_consolidated_results,1151,-2507,8539
ConditionalTestLogic_consolidated_results,8484,14416,16002
