file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,-134,61346
SuboptimalAssert_consolidated_results,-194,21274
ObscureInLineSetup_consolidated_results,-954,23734
RedundantAssertion_consolidated_results,-228,3236
IgnoredTest_consolidated_results,-168,52622
SleepyTest_consolidated_results,-60,2
AssertionRoulette_consolidated_results,-920,65700
LackCohesion_consolidated_results,-228,61354
EmptyTest_consolidated_results,0,0
ExceptionHandling_consolidated_results,-920,64018
MagicNumberTest_consolidated_results,-920,66440
ConstructorInitialization_consolidated_results,0,-92
UnknownTest_consolidated_results,-186,55368
RedundantPrint_consolidated_results,-954,6240
DuplicateAssertion_consolidated_results,-194,61356
TestMaverick_consolidated_results,-936,61340
ConditionalTestLogic_consolidated_results,-152,64178
