Module,statements,missing,excluded,branches,partial,coverage
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/python/dataset/original/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/__init__.py,4,0,0,0,0,100%
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/python/dataset/original/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/_version.py,1,0,0,0,0,100%
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/python/dataset/original/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/datetime.py,67,50,0,12,0,22%
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/python/dataset/original/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/introspect.py,30,24,0,16,0,13%
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/python/dataset/original/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/uris.py,4,0,0,2,0,100%
perceval/_version.py,1,0,0,0,0,100%
perceval/archive.py,194,159,0,34,0,15%
perceval/backend.py,421,321,0,136,0,18%
perceval/backends/core/__init__.py,2,0,0,0,0,100%
perceval/backends/core/askbot.py,260,191,0,48,0,22%
perceval/backends/core/bugzilla.py,240,162,0,54,0,27%
perceval/backends/core/bugzillarest.py,220,140,0,40,0,31%
perceval/backends/core/confluence.py,192,128,0,44,0,27%
perceval/backends/core/discourse.py,174,118,0,38,0,26%
perceval/backends/core/dockerhub.py,74,34,0,2,0,53%
perceval/backends/core/gerrit.py,272,214,0,74,0,17%
perceval/backends/core/git.py,552,447,0,182,0,14%
perceval/backends/core/github.py,578,454,0,184,0,16%
perceval/backends/core/githubql.py,102,63,0,22,0,31%
perceval/backends/core/gitlab.py,342,247,0,84,0,22%
perceval/backends/core/gitter.py,145,97,0,26,0,28%
perceval/backends/core/googlehits.py,92,52,0,8,0,40%
perceval/backends/core/groupsio.py,148,99,0,22,0,29%
perceval/backends/core/hyperkitty.py,116,78,0,22,0,28%
perceval/backends/core/jenkins.py,145,98,0,26,0,27%
perceval/backends/core/jira.py,192,131,0,40,0,26%
perceval/backends/core/launchpad.py,233,157,0,54,0,26%
perceval/backends/core/mattermost.py,189,127,0,36,0,28%
perceval/backends/core/mbox.py,202,146,0,59,0,21%
perceval/backends/core/mediawiki.py,290,208,0,80,0,22%
perceval/backends/core/meetup.py,186,118,0,38,0,30%
perceval/backends/core/nntp.py,163,109,0,35,0,27%
perceval/backends/core/pagure.py,166,107,0,30,0,30%
perceval/backends/core/phabricator.py,289,209,0,98,0,21%
perceval/backends/core/pipermail.py,131,90,0,32,0,25%
perceval/backends/core/redmine.py,180,110,0,30,0,33%
perceval/backends/core/rocketchat.py,142,89,0,18,0,33%
perceval/backends/core/rss.py,62,29,0,2,0,52%
perceval/backends/core/slack.py,198,132,0,42,0,28%
perceval/backends/core/stackexchange.py,142,85,0,26,0,34%
perceval/backends/core/supybot.py,165,102,0,40,0,31%
perceval/backends/core/telegram.py,124,79,0,24,0,30%
perceval/backends/core/twitter.py,156,99,0,30,0,31%
perceval/client.py,131,88,0,32,0,26%
perceval/errors.py,29,6,0,0,0,79%
perceval/utils.py,109,90,0,36,0,13%
tests/__init__.py,0,0,0,0,0,100%
tests/test_archive.py,240,194,0,30,1,17%
tests/test_askbot.py,363,351,0,14,0,3%
tests/test_backend.py,1227,1209,0,314,0,1%
tests/test_bugzilla.py,503,491,0,102,0,2%
tests/test_bugzillarest.py,386,375,0,42,0,3%
tests/test_client.py,211,161,0,22,1,22%
tests/test_confluence.py,331,320,0,70,0,3%
tests/test_discourse.py,529,518,0,128,0,2%
tests/test_dockerhub.py,126,115,0,8,0,8%
tests/test_errors.py,49,23,0,2,1,53%
tests/test_gerrit.py,320,311,0,16,0,3%
tests/test_git.py,913,814,0,200,1,9%
tests/test_github.py,1525,1508,0,124,0,1%
tests/test_githubql.py,391,382,0,32,0,2%
tests/test_gitlab.py,992,978,0,84,0,1%
tests/test_gitter.py,260,247,0,30,0,4%
tests/test_googlehits.py,185,173,0,24,0,6%
tests/test_groupsio.py,287,220,0,36,1,21%
tests/test_hyperkitty.py,216,160,0,20,1,24%
tests/test_jenkins.py,436,426,0,110,0,2%
tests/test_jira.py,460,451,0,38,0,2%
tests/test_launchpad.py,384,374,0,26,0,2%
tests/test_mattermost.py,360,350,0,50,0,2%
tests/test_mbox.py,300,242,0,74,1,16%
tests/test_mediawiki.py,403,390,0,80,0,3%
tests/test_meetup.py,473,458,0,106,0,3%
tests/test_nntp.py,274,262,0,30,0,4%
tests/test_pagure.py,373,362,0,36,0,3%
tests/test_phabricator.py,494,483,0,84,0,2%
tests/test_pipermail.py,307,245,0,28,1,19%
tests/test_redmine.py,312,303,0,52,0,2%
tests/test_rocketchat.py,305,291,0,20,0,4%
tests/test_rss.py,134,128,0,18,0,4%
tests/test_slack.py,424,413,0,78,0,2%
tests/test_stackexchange.py,259,246,0,30,0,4%
tests/test_supybot.py,337,297,0,40,1,11%
tests/test_telegram.py,257,250,0,34,0,2%
tests/test_twitter.py,228,215,0,40,0,5%
tests/test_utils.py,121,88,0,28,1,23%
Total,23550,20311,0,4158,10,12%
