file_name,sum_missing_GPT,sum_missing_GEMINI,sum_missing_LLAMA
GeneralFixture_consolidated_results,61346,35132,64354
SuboptimalAssert_consolidated_results,21274,34898,4506
ObscureInLineSetup_consolidated_results,23734,52568,6946
RedundantAssertion_consolidated_results,3236,3236,3286
IgnoredTest_consolidated_results,52622,3268,3284
SleepyTest_consolidated_results,2,2782,2782
AssertionRoulette_consolidated_results,65700,65868,64360
LackCohesion_consolidated_results,61354,61806,61188
EmptyTest_consolidated_results,0,17682,12
ExceptionHandling_consolidated_results,64018,55754,64966
MagicNumberTest_consolidated_results,66440,64314,64938
ConstructorInitialization_consolidated_results,-92,-106,-90
UnknownTest_consolidated_results,55368,64166,64104
RedundantPrint_consolidated_results,6240,34886,3512
DuplicateAssertion_consolidated_results,61356,64290,64200
TestMaverick_consolidated_results,61340,43838,61408
ConditionalTestLogic_consolidated_results,64178,65118,65084
